"2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14","2015-12-13","2015-12-14"
"証券コード","会社名","市場","業種","PER","東証1部平均
PER","PBR","東証1部平均
PBR","昨季
営業利益増加率(%)","今期予想
営業利益増加率(%)","四半期の見通し
悪1 - 5良","四半期の見通し
悪1 - 5良","自己資本比率(%)","IR活動の数
(分割,分売,優待新設,優待拡充,優待変更,自己株式取得)","上場日","株主優待","配当月","サイクロ","一か月の
25日移動曲線の
値動き","25日
移動平均曲線の
値動き
乖離率","一か月の
25日移動曲線の
出来高","25日
移動平均曲線
出来高
"1722-T","ミサワホーム","東証1部","建設業","11.2798804780876498","15.8257337701220262","0.843065184013399693","1.21499040903193167","-55.859%","-44.849%","1","2","26.400%","0","2003-08-01","あり","3月末日・9月末日","0.5833333333333334","↑↑↑↑","1.261%","↑↑↑↑","-45.382%","878.400%","3580.800%","4037.800%","997.591%","1397.182%","1328.900%","1328.900%","196.028%","196.028%","1205.334%","1205.334%"
"1723-T","日本電技","JQスタンダード","建設業","8.19618385679627615","15.8257337701220262","0.676864762420468336","1.21499040903193167","-11.810%","-135.614%","1","4","60.700%","2","2003-03-13","なし","3月末日","0.5","↑↑↑↑","2.590%","↑↑↑↑","-64.990%","41.152%","913.800%","1578.300%","77.773%","75.545%","362.350%","362.350%","252.601%","252.601%","454.783%","454.783%"
"1724-T","シンクレイヤ","JQスタンダード","建設業","10.2555701179554397","15.8257337701220262","1.06782205240174677","1.21499040903193167","-213.158%","186.822%","4","4","17.400%","2","2003-02-19","なし","3月末日","0.75","→→↓→","0.436%","↑↓↓↓","21.259%","5.036%","2.000%","122.400%","44.955%","42.227%","120.150%","121.150%","170.238%","171.655%","37.508%","37.820%"
"1726-T","ビーアールホールディングス","東証2部","建設業","14.5529197080291954","15.8257337701220262","2.86509789832944106","1.21499040903193167","14.205%","-180.296%","2","2","50.100%","4","2002-09-26","あり","3月末日","0.8333333333333334","→→→→","3.936%","↑↓↓↑","14.559%","134.900%","273.600%","337.400%","367.545%","423.182%","616.000%","616.000%","204.176%","204.176%","192.804%","192.804%"
"1728-T","ミサワホーム中国","JQスタンダード","建設業","15.0895140664961627","15.8257337701220262","0.441922738422935057","1.21499040903193167","-127.948%","-207.292%","1","3","27.000%","0","2002-03-15","なし","3月末日","0.7","→↑→→","4.085%","↑↑↓↑","160.000%","10.756%","82.200%","615.800%","19.227%","19.182%","19.400%","19.400%","96.063%","96.063%","45.205%","45.205%"
"1730-T","麻生フオームクリート","JQスタンダード","建設業","21.774744027303754","15.8257337701220262","0.877530809859154992","1.21499040903193167","106.000%","-148.544%","1","2","36.300%","0","2001-04-10","なし","3月末日","0.8333333333333334","→→→→","2.363%","↑↓↓↑","150.000%","4.336%","35.200%","129.300%","10.409%","11.773%","8.000%","8.000%","133.668%","133.668%","25.357%","25.357%"
"1734-S","北弘電社","札証","建設業","","15.8257337701220262","","1.21499040903193167","-7.658%","-72.439%","5","4","52.200%","1","2000-08-10","あり","3月末日","0.75","→→→→","","↑↑↓↓","-100.000%","10.532%","346.800%","549.700%","32.318%","30.318%","22.950%","22.950%","201.758%","201.758%","92.965%","92.965%"
"1736-T","オーテック","JQスタンダード","建設業","7.29504950495049531","15.8257337701220262","0.455920280779569254","1.21499040903193167","9.305%","-46.774%","5","4","53.900%","3","2000-04-25","なし","3月末日","0.8181818181818182","↑↑↑↑","2.286%","↑↑↑↓","-78.858%","20.976%","445.800%","1036.300%","17.318%","28.500%","214.000%","214.000%","214.536%","214.536%","196.880%","196.880%"
"1737-T","三井金属エンジニアリング","東証2部","建設業","15.0157507875393765","15.8257337701220262","0.967000270489586145","1.21499040903193167","61.026%","-87.637%","1","1","57.500%","0","2000-03-14","なし","3月末日","0.8571428571428571","→→→↓","-2.863%","↑↑↑↑","5.000%","275.100%","712.600%","1191.700%","34.409%","33.273%","14.400%","14.400%","64.386%","64.386%","123.989%","123.989%"
"1739-T","シード平和","JQグロース","建設業","5.93285405179032566","15.8257337701220262","2.24541011755382369","1.21499040903193167","179.808%","37.457%","4","4","21.400%","0","1999-12-17","なし","6月末日","0.4166666666666667","→↑↑↑","-0.426%","↑↓↑↑","-71.456%","11.120%","64.800%","107.400%","33.864%","33.864%","30.650%","30.650%","108.582%","108.582%","52.825%","52.825%"
"1743-F","コーアツ工業","福証","建設業","","15.8257337701220262","","1.21499040903193167","-7.801%","","4","2","65.200%","0","1999-07-08","なし","9月末日","","→→→→","","→→→→","","6.748%","57.400%","618.700%","21.500%","20.773%","32.400%","32.400%","243.609%","243.609%","71.919%","71.919%"
"1743-T","コーアツ工業","東証2部","建設業","30.3448275862068968","15.8257337701220262","0.274133054216041783","1.21499040903193167","-7.801%","","4","2","65.200%","0","1999-07-08","なし","9月末日","0.7777777777777778","↓↓↓→","-2.745%","↑↑↓↑","36.634%","42.175%","57.400%","618.700%","21.500%","20.773%","32.400%","32.400%","243.609%","243.609%","71.919%","71.919%"
"1757-T","クレアホールディングス","東証2部","建設業","","15.8257337701220262","1.62736632348057131","1.21499040903193167","-15.271%","63.953%","1","1","90.900%","0","1997-11-28","なし","3月末日","0.9166666666666666","↓→→↑","19.746%","↑↓↓↑","284.836%","62.200%","-84.800%","131.700%","235.000%","226.227%","1907.100%","2892.750%","260.014%","285.714%","113.210%","124.400%"
"1758-T","太洋基礎工業","JQスタンダード","建設業","","15.8257337701220262","","1.21499040903193167","-55.127%","20.362%","3","4","67.600%","0","1997-11-20","なし","1月末日","0.9","→→→→","","↑→↓↓","-100.000%","13.096%","308.600%","556.400%","12.727%","12.364%","11.140%","11.140%","155.337%","155.337%","89.000%","89.000%"
"1762-T","高松コンストラクショングループ","東証1部","建設業","21.4440086448411087","15.8257337701220262","1.09214989237492666","1.21499040903193167","9.925%","14.130%","4","5","94.900%","0","1997-10-22","あり","3月末日","0.5833333333333334","↑↑↑→","1.766%","↑↓↑↑","118.771%","2494.150%","2779.200%","8635.100%","435.545%","309.273%","958.000%","958.000%","140.800%","140.800%","2458.226%","2458.226%"
"1764-T","工藤建設","東証2部","建設業","12.4154886293792259","15.8257337701220262","0.965998756635263689","1.21499040903193167","-42.014%","-95.210%","4","3","23.500%","0","1997-04-11","なし","6月末日","0.7272727272727273","→→→→","-0.926%","↑↓↓→","-63.303%","66.900%","45.800%","277.500%","32.045%","32.045%","22.110%","22.110%","94.909%","94.909%","44.446%","44.446%"
"1766-T","東建コーポレーション","東証1部","建設業","14.5011136214328058","15.8257337701220262","2.04566003616636527","1.21499040903193167","4.123%","42.298%","5","5","43.600%","0","1997-03-19","あり","4月末日・10月末日","0.3333333333333333","→↑→→","-5.674%","↑↓↓↑","65.372%","3280.425%","3962.600%","5859.700%","281.318%","281.318%","371.600%","371.600%","157.618%","157.618%","3619.376%","3619.376%"
"1768-T","ソネック","東証2部","建設業","17.6643192488262919","15.8257337701220262","0.946005405745175665","1.21499040903193167","15.858%","2.093%","2","5","49.400%","7","1996-11-19","あり","9月末日","0.6666666666666666","↑↑→→","-0.206%","↑→↓↓","-26.901%","112.125%","240.600%","456.800%","21.545%","242.545%","232.000%","232.000%","176.762%","176.762%","138.736%","138.736%"
"1770-T","藤田エンジニアリング","JQスタンダード","建設業","9.27852635169708329","15.8257337701220262","0.614085588178852393","1.21499040903193167","37.472%","-29.699%","2","2","48.100%","2","1996-08-05","なし","3月末日","0.6666666666666666","↑→↑↑","5.426%","↑↑↑↑","251.453%","25.040%","467.400%","966.000%","31.727%","31.455%","298.000%","298.000%","145.543%","145.543%","159.443%","159.443%"
